individual_id,site_code,site_nom,riviere,role_population,annee,individual,taxon_code_actuel,espece_actuelle,sexe,taille_cm,poids_g,n_tissus_sequences,tissus,Individu,taxon_code_index,mediane des Index par chromosome,delta_mediane_quart
2015_Bue_1013,Bue,Büech,Durance,sympatrie+hyb,2015,1013,Ch,Chondrostoma sp.,M,21.0,108.0,4,branchie;caudale;hindgut;midgut,15Bue1013,Pt,0.0001,0.0261861
2015_Bue_1014,Bue,Büech,Durance,sympatrie+hyb,2015,1014,Ch,Chondrostoma sp.,M,18.0,73.0,4,branchie;caudale;hindgut;midgut,15Bue1014,Pt,0.001654999999999962,0.0
2015_Bue_1015,Bue,Büech,Durance,sympatrie+hyb,2015,1015,Ch,Chondrostoma sp.,M,16.0,57.0,4,branchie;caudale;hindgut;midgut,15Bue1015,Pt,0.0001,0.0178451
2015_Bue_1016,Bue,Büech,Durance,sympatrie+hyb,2015,1016,Ch,Chondrostoma sp.,M,30.0,378.0,4,branchie;caudale;hindgut;midgut,15Bue1016,Hy,0.8887309999999999,0.15708699999999998
2015_Bue_1017,Bue,Büech,Durance,sympatrie+hyb,2015,1017,Ch,Chondrostoma sp.,M,31.5,363.0,4,branchie;caudale;hindgut;midgut,15Bue1017,Cn,0.985546,0.08171899999999999
2015_Bue_1018,Bue,Büech,Durance,sympatrie+hyb,2015,1018,Ch,Chondrostoma sp.,X,31.0,376.0,4,branchie;caudale;hindgut;midgut,15Bue1018,Hy,0.8807585,0.09011049999999998
2015_Caa_1001,Caa,canal,Durance,allopatrie,2015,1001,Ch,Chondrostoma sp.,X,14.0,28.0,4,branchie;caudale;hindgut;midgut,15Caa1001,Cn,0.947083,0.052817
2015_Caa_1002,Caa,canal,Durance,allopatrie,2015,1002,Ch,Chondrostoma sp.,X,13.0,21.0,4,branchie;caudale;hindgut;midgut,15Caa1002,Cn,0.9994325,0.1068714999999999
2015_Caa_1003,Caa,canal,Durance,allopatrie,2015,1003,Ch,Chondrostoma sp.,X,12.0,16.0,4,branchie;caudale;hindgut;midgut,15Caa1003,Cn,0.9999,0.011297000000000001
2015_Caa_1004,Caa,canal,Durance,allopatrie,2015,1004,Ch,Chondrostoma sp.,X,12.5,23.0,4,branchie;caudale;hindgut;midgut,15Caa1004,Cn,0.9999,0.005790999999999991
2015_Caa_1005,Caa,canal,Durance,allopatrie,2015,1005,Ch,Chondrostoma sp.,X,13.0,21.0,4,branchie;caudale;hindgut;midgut,15Caa1005,Cn,0.9999,0.031225000000000058
2015_Caa_1006,Caa,canal,Durance,allopatrie,2015,1006,Ch,Chondrostoma sp.,X,11.5,16.0,4,branchie;caudale;hindgut;midgut,15Caa1006,Hy,0.9211665,0.07827249999999997
2015_Caa_1007,Caa,canal,Durance,allopatrie,2015,1007,Ch,Chondrostoma sp.,X,11.5,14.0,4,branchie;caudale;hindgut;midgut,15Caa1007,Cn,0.9847625,0.052702499999999985
2015_Caa_1008,Caa,canal,Durance,allopatrie,2015,1008,Ch,Chondrostoma sp.,X,11.5,16.0,4,branchie;caudale;hindgut;midgut,15Caa1008,Hy,0.9208035,0.07993349999999999
