individual_id,site_code,site_nom,riviere,role_population,annee,individual,taxon_code_actuel,espece_actuelle,sexe,taille_cm,poids_g,n_tissus_sequences,tissus,index_hybride,index_hybride_source
2015_Bau_1017,Bau,Baume,Ardèche,asym. Toxo,2015,1017,Ch,Chondrostoma sp.,M,17,60,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1025,Bau,Baume,Ardèche,asym. Toxo,2015,1025,Ch,Chondrostoma sp.,M,18,66,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1008,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1008,Ch,Chondrostoma sp.,X,16,43,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1016,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1016,Ch,Chondrostoma sp.,X,15,38,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1005,Caa,canal,Durance,allopatrie,2015,1005,Ch,Chondrostoma sp.,X,13,21,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1013,Caa,canal,Durance,allopatrie,2015,1013,Ch,Chondrostoma sp.,M,16.5,44,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Avi_1001,Avi,Avignon,Durance,asym. Hotu,2015,1001,Cn,Chondrostoma nasus,M,34.5,563,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Avi_1009,Avi,Avignon,Durance,asym. Hotu,2015,1009,Cn,Chondrostoma nasus,X,12.5,22,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Bue_1004,Bue,Büech,Durance,sympatrie+hyb,2015,1004,Ch,Chondrostoma sp.,M,16.5,53,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bue_1012,Bue,Büech,Durance,sympatrie+hyb,2015,1012,Ch,Chondrostoma sp.,M,19.5,91,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1002,Bau,Baume,Ardèche,asym. Toxo,2015,1002,Ch,Chondrostoma sp.,F,17.5,65,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1010,Bau,Baume,Ardèche,asym. Toxo,2015,1010,Ch,Chondrostoma sp.,M,18.5,71,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1018,Bau,Baume,Ardèche,asym. Toxo,2015,1018,Ch,Chondrostoma sp.,M,19.5,84,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1001,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1001,Ch,Chondrostoma sp.,F,16,52,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1009,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1009,Ch,Chondrostoma sp.,X,14,27,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1017,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1017,Ch,Chondrostoma sp.,X,14.5,35,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1006,Caa,canal,Durance,allopatrie,2015,1006,Ch,Chondrostoma sp.,X,11.5,16,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1014,Caa,canal,Durance,allopatrie,2015,1014,Ch,Chondrostoma sp.,M,15,38,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Avi_1002,Avi,Avignon,Durance,asym. Hotu,2015,1002,Cn,Chondrostoma nasus,F,26,233,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Avi_1010,Avi,Avignon,Durance,asym. Hotu,2015,1010,Cn,Chondrostoma nasus,X,11.5,21,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Bue_1005,Bue,Büech,Durance,sympatrie+hyb,2015,1005,Ch,Chondrostoma sp.,F,16,49,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bue_1013,Bue,Büech,Durance,sympatrie+hyb,2015,1013,Ch,Chondrostoma sp.,M,21,108,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1003,Bau,Baume,Ardèche,asym. Toxo,2015,1003,Ch,Chondrostoma sp.,M,23,130,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1011,Bau,Baume,Ardèche,asym. Toxo,2015,1011,Ch,Chondrostoma sp.,M,21,89,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1019,Bau,Baume,Ardèche,asym. Toxo,2015,1019,Ch,Chondrostoma sp.,M,15,39,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1002,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1002,Ch,Chondrostoma sp.,M,22,85,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1010,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1010,Ch,Chondrostoma sp.,M,43,1138,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1018,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1018,Ch,Chondrostoma sp.,X,16,46,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1007,Caa,canal,Durance,allopatrie,2015,1007,Ch,Chondrostoma sp.,X,11.5,14,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1015,Caa,canal,Durance,allopatrie,2015,1015,Ch,Chondrostoma sp.,M,14.5,31,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Avi_1003,Avi,Avignon,Durance,asym. Hotu,2015,1003,Cn,Chondrostoma nasus,M,26,318,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Avi_1011,Avi,Avignon,Durance,asym. Hotu,2015,1011,Cn,Chondrostoma nasus,X,13,23,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Bue_1006,Bue,Büech,Durance,sympatrie+hyb,2015,1006,Ch,Chondrostoma sp.,F,18,70,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bue_1014,Bue,Büech,Durance,sympatrie+hyb,2015,1014,Ch,Chondrostoma sp.,M,18,73,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1004,Bau,Baume,Ardèche,asym. Toxo,2015,1004,Ch,Chondrostoma sp.,F,17,62,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1012,Bau,Baume,Ardèche,asym. Toxo,2015,1012,Ch,Chondrostoma sp.,,,,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1020,Bau,Baume,Ardèche,asym. Toxo,2015,1020,Ch,Chondrostoma sp.,M,18.5,73,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1003,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1003,Ch,Chondrostoma sp.,X,15.5,42,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1011,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1011,Ch,Chondrostoma sp.,M,43.5,1201,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1019,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1019,Ch,Chondrostoma sp.,X,11.5,18,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1008,Caa,canal,Durance,allopatrie,2015,1008,Ch,Chondrostoma sp.,X,11.5,16,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1016,Caa,canal,Durance,allopatrie,2015,1016,Ch,Chondrostoma sp.,X,11.5,15,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Avi_1004,Avi,Avignon,Durance,asym. Hotu,2015,1004,Cn,Chondrostoma nasus,F,32,423,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Avi_1012,Avi,Avignon,Durance,asym. Hotu,2015,1012,Pt,Parachondrostoma toxostoma,F,20,98,4,branchie;caudale;hindgut;midgut,1,connu (Cn=0/Pt=1)
2015_Bue_1007,Bue,Büech,Durance,sympatrie+hyb,2015,1007,Ch,Chondrostoma sp.,M,15,36,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bue_1015,Bue,Büech,Durance,sympatrie+hyb,2015,1015,Ch,Chondrostoma sp.,M,16,57,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1005,Bau,Baume,Ardèche,asym. Toxo,2015,1005,Ch,Chondrostoma sp.,M,21,107,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1013,Bau,Baume,Ardèche,asym. Toxo,2015,1013,Ch,Chondrostoma sp.,M,16,49,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1021,Bau,Baume,Ardèche,asym. Toxo,2015,1021,Ch,Chondrostoma sp.,F,18,75,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1004,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1004,Ch,Chondrostoma sp.,M,16,56,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1012,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1012,Ch,Chondrostoma sp.,M,42.5,1072,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1001,Caa,canal,Durance,allopatrie,2015,1001,Ch,Chondrostoma sp.,X,14,28,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1009,Caa,canal,Durance,allopatrie,2015,1009,Ch,Chondrostoma sp.,X,12,16,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1017,Caa,canal,Durance,allopatrie,2015,1017,Ch,Chondrostoma sp.,X,12.5,15,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Avi_1005,Avi,Avignon,Durance,asym. Hotu,2015,1005,Cn,Chondrostoma nasus,M,27.5,240,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Avi_1013,Avi,Avignon,Durance,asym. Hotu,2015,1013,Pt,Parachondrostoma toxostoma,M,23,139,4,branchie;caudale;hindgut;midgut,1,connu (Cn=0/Pt=1)
2015_Bue_1008,Bue,Büech,Durance,sympatrie+hyb,2015,1008,Ch,Chondrostoma sp.,M,12.5,26,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bue_1016,Bue,Büech,Durance,sympatrie+hyb,2015,1016,Ch,Chondrostoma sp.,M,30,378,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
