individual_id,site_code,site_nom,riviere,annee,individual,taxon_morpho,classe_genotype,index_median,D,classe_selon_regles,sexe,taille_cm,n_tissus,bloc_numerotation,utilisable_3000,n_tissus_utilisables
2015_Cab_1012,Cab,Ain,Ain,2015,1012,Ch,Pt,0.0001,0.0024834600000000003,pur Pt,F,18.0,4,B (>1010),True,4
2015_Cab_1013,Cab,Ain,Ain,2015,1013,Ch,Pt,0.0001,0.0639904,pur Pt,F,22.0,4,B (>1010),True,4
2015_Cab_1014,Cab,Ain,Ain,2015,1014,Ch,Pt,0.0001,0.0,pur Pt,F,18.5,4,B (>1010),True,4
2015_Cab_1015,Cab,Ain,Ain,2015,1015,Ch,Pt,0.0001,0.0122371,pur Pt,M,17.5,4,B (>1010),True,4
2015_Cab_1016,Cab,Ain,Ain,2015,1016,Ch,Pt,0.0001,0.00194113,pur Pt,M,18.0,4,B (>1010),True,4
2015_Cab_1017,Cab,Ain,Ain,2015,1017,Ch,Pt,0.0001,0.0135881,pur Pt,M,17.0,4,B (>1010),True,4
2015_Cab_1018,Cab,Ain,Ain,2015,1018,Ch,Pt,0.0001,0.018595900000000002,pur Pt,M,19.0,4,B (>1010),True,4
2015_Cab_1019,Cab,Ain,Ain,2015,1019,Ch,Pt,0.0001,0.0,pur Pt,M,18.0,4,B (>1010),True,4
2015_Jus_1001,Jus,St-Just,Ardèche,2015,1001,Ch,Pt,0.0001,0.0,pur Pt,F,16.0,4,A (1001-1010),True,4
2015_Jus_1002,Jus,St-Just,Ardèche,2015,1002,Ch,Pt,0.0001,0.034920799999999995,pur Pt,M,22.0,4,A (1001-1010),True,4
2015_Jus_1003,Jus,St-Just,Ardèche,2015,1003,Ch,Pt,0.014152999999999999,0.0733562,pur Pt,X,15.5,4,A (1001-1010),True,4
2015_Jus_1004,Jus,St-Just,Ardèche,2015,1004,Ch,Pt,0.0001,0.008645690000000001,pur Pt,M,16.0,4,A (1001-1010),True,4
2015_Jus_1005,Jus,St-Just,Ardèche,2015,1005,Ch,Pt,0.0001,0.0121084,pur Pt,M,15.5,4,A (1001-1010),True,4
2015_Jus_1006,Jus,St-Just,Ardèche,2015,1006,Ch,Pt,0.0001,0.0,pur Pt,X,15.0,4,A (1001-1010),True,4
2015_Jus_1007,Jus,St-Just,Ardèche,2015,1007,Ch,Pt,0.0001,0.014199,pur Pt,M,17.0,4,A (1001-1010),True,4
2015_Jus_1008,Jus,St-Just,Ardèche,2015,1008,Ch,Pt,0.045518999999999976,0.01,pur Pt,X,16.0,4,A (1001-1010),True,4
2015_Jus_1009,Jus,St-Just,Ardèche,2015,1009,Ch,Hy,0.4761105,0.2859385,F2 / recombinant (D élevé),X,14.0,4,A (1001-1010),True,4
2015_Jus_1010,Jus,St-Just,Ardèche,2015,1010,Ch,Cn,0.9999,0.04496900000000004,pur Cn,M,43.0,4,A (1001-1010),True,4
2015_Jus_1011,Jus,St-Just,Ardèche,2015,1011,Ch,Hy,0.9294205,0.06764250000000005,F1 (D faible),M,43.5,4,B (>1010),True,4
2015_Jus_1012,Jus,St-Just,Ardèche,2015,1012,Ch,Cn,0.9999,0.02703500000000003,pur Cn,M,42.5,4,B (>1010),True,3
2015_Jus_1013,Jus,St-Just,Ardèche,2015,1013,Ch,Cn,0.9766085,0.10154149999999995,pur Cn,M,44.0,4,B (>1010),True,4
2015_Jus_1014,Jus,St-Just,Ardèche,2015,1014,Ch,Cn,0.9468705,0.05302950000000006,F1 (D faible),X,16.0,4,B (>1010),True,4
2015_Jus_1015,Jus,St-Just,Ardèche,2015,1015,Ch,Cn,0.9977965,0.050436499999999995,pur Cn,X,16.0,4,B (>1010),True,4
2015_Jus_1016,Jus,St-Just,Ardèche,2015,1016,Ch,Hy,0.9999,0.23044900000000001,introgressé Cn,X,15.0,4,B (>1010),True,3
2015_Jus_1017,Jus,St-Just,Ardèche,2015,1017,Ch,Cn,0.9999,0.022872000000000003,pur Cn,X,14.5,4,B (>1010),True,4
2015_Jus_1018,Jus,St-Just,Ardèche,2015,1018,Ch,Cn,0.9970375,0.02751349999999997,pur Cn,X,16.0,4,B (>1010),True,4
2015_Jus_1019,Jus,St-Just,Ardèche,2015,1019,Ch,Cn,0.9999,0.043321000000000054,pur Cn,X,11.5,4,B (>1010),True,3
