dada2_id,individual_id,run_label,library,tissue,site_code,station,riviere,latitude,longitude,date_collecte,annee,individual,categorie,categorie_aout_12chr,type_genome,inclus_passe1,qvalues_foie,index_mediane_andre,delta_mediane_quart,taxon_code_avant_genotypage,plate,well,well_row,well_col,col_rank_site,col_rank_station,qc_flag
15Avi1001Cn01A__durance1,2015_Avi_1001,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2015,1001,Hy,Hy,quasi-pur,False,True,0.9999,0.36144699999999996,Cn,2,A09,A,09,3,3,
15Avi1009Cn01A__durance1,2015_Avi_1009,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2015,1009,Cn,Cn,pur,True,True,0.9999,0.06070900000000001,Cn,2,A10,A,10,4,4,
15Bue1004Ch01A__durance1,2015_Bue_1004,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2015,1004,Pt,Pt,pur,True,True,0.0001,0.0,Ch,2,A11,A,11,5,5,
15Bue1012Ch01A__durance1,2015_Bue_1012,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2015,1012,Hy,Hy,quasi-pur,False,True,0.0001,0.393005,Ch,2,A12,A,12,6,6,
15Bau1002Ch01A__durance1,2015_Bau_1002,durance1,A,caudale,Bau,Rosieres,Beaume,44.475,4.264,2015-07-22,2015,1002,Pt,Pt,pur,True,True,0.0001,0.00046527,Ch,2,B01,B,01,1,1,
15Bau1010Ch01A__durance1,2015_Bau_1010,durance1,A,caudale,Bau,Rosieres,Beaume,44.475,4.264,2015-07-22,2015,1010,Hy,Hy,quasi-pur,False,True,0.0001,0.375879,Ch,2,B02,B,02,2,2,
15Bau1018Ch01A__durance1,2015_Bau_1018,durance1,A,caudale,Bau,Rosieres,Beaume,44.475,4.264,2015-07-22,2015,1018,Pt,Pt,pur,True,True,0.0001,0.0420278,Ch,2,B03,B,03,3,3,
15Jus1001Ch01A__durance1,2015_Jus_1001,durance1,A,caudale,Jus,Saint-Just-d'Ardeche,Ardeche,44.286,4.597833,2015-07-21,2015,1001,Pt,Pt,pur,True,True,0.0001,0.0,Ch,2,B04,B,04,1,1,
15Jus1009Ch01A__durance1,2015_Jus_1009,durance1,A,caudale,Jus,Saint-Just-d'Ardeche,Ardeche,44.286,4.597833,2015-07-21,2015,1009,Hy,Hy,intermediaire,True,True,0.4761105,0.2859385,Ch,2,B05,B,05,2,2,
15Jus1017Ch01A__durance1,2015_Jus_1017,durance1,A,caudale,Jus,Saint-Just-d'Ardeche,Ardeche,44.286,4.597833,2015-07-21,2015,1017,Cn,Cn,pur,True,True,0.9999,0.022872000000000003,Ch,2,B06,B,06,3,3,
